road_label,acc_mean,acc_std,acc_rms,z_max,z_min,z_peak_to_peak,speed_mean,speed_std
smooth,16010.188417499705,2751.1111944449403,16242.507806370297,24292,744,23548,14.975599999999995,3.1759230965424075
smooth,15988.40261579444,1842.4204642064728,16093.15339639811,19676,10780,8896,13.411900000000001,2.005848365820973
smooth,15906.233715548598,1762.403233634193,16002.602148400741,19388,11108,8280,15.714399999999998,1.7193129471102722
smooth,16090.966288865813,1669.5217879949553,16176.48373658503,19388,11108,8280,19.2539,2.5349205135666506
smooth,16136.863746334131,1601.6899510328408,16215.367037474052,19480,12388,7092,22.907600000000002,1.8916926950552129
smooth,15712.430300192033,2151.612742935627,15857.604136817137,19480,6292,13188,25.322799999999997,2.103901656878995
smooth,15976.803353932954,2956.4687149335,16245.354585234512,26308,3456,22852,26.593600000000006,2.2129342100889082
smooth,16392.37414386212,2803.0803560485683,16627.94686544313,26308,3456,22852,28.536399999999993,2.342982869607187
smooth,16394.336156133762,3007.7572569696754,16665.245143111457,24768,7972,16796,30.1446,0.25576749226789985
smooth,16255.348076340182,3723.9216264338606,16672.290107840614,27804,6288,21516,29.850700000000007,0.37503738534183556
smooth,15984.852650384799,3973.6827568398257,16466.56513544947,27804,4712,23092,29.51749999999999,0.465488501957401
smooth,16334.364159453544,4693.8062247083235,16988.906709968127,29568,4712,24856,29.399699999999992,0.9691957042472448
smooth,16305.442584826147,4229.493256288257,16839.750145414866,29568,7048,22520,25.652799999999992,7.757682419721274
rough,16084.774850149066,2673.821330056048,16303.306697722397,23680,7388,16292,22.53420000000001,7.053883546735733
rough,16036.271771853108,3382.0442773874624,16385.537940513273,26556,4064,22492,18.744899999999998,5.800398539947253
rough,15603.350524691235,4198.456234275757,16152.873180954526,26556,2268,24288,11.948600000000004,4.992595733845889
rough,15858.099604525545,3864.55076550149,16317.620174523,24252,2268,21984,9.8161,3.39758140209155
rough,16616.52235455001,3920.4094046077926,17068.237429799246,31448,7508,23940,11.389,3.1440167642907717
rough,16744.001527667948,4844.08624999883,17423.894715017075,31448,4464,26984,14.683300000000004,3.191633651225711
rough,16284.963573213661,4678.280317207142,16937.162756494963,28532,4464,24068,14.153399999999998,3.9265424737267
rough,16033.592560122263,3637.6507037394545,16437.03951446245,25424,5504,19920,10.7512,3.947231808431695
rough,16248.292567938677,4209.747359999047,16779.50429780332,32044,748,31296,11.598399999999996,3.1279753415546194
rough,16494.848477907042,4820.632283949725,17178.071398442844,32767,748,32019,12.635899999999998,3.4352419217001384
rough,16375.131716860566,4601.062273641426,17003.029584459353,32767,6648,26119,12.610999999999997,3.9612357779976803
rough,16098.037605029067,4304.2068952410245,16657.96355380813,28320,3568,24752,12.013000000000007,3.954140267178853
rough,16360.936904906068,4082.1848073917063,16857.575355904537,28320,3568,24752,14.050899999999997,4.538379120391337
rough,16681.9735698048,4076.1964118791266,17167.919664304118,25172,6924,18248,17.2951,1.6673213835249623
rough,16304.428080815704,3821.043846685249,16741.826285086107,25172,7892,17280,13.423899999999994,4.113951109003693
rough,15975.084930365774,3172.0157991251126,16283.869500828112,22548,7892,14656,10.991799999999998,1.592712177641673
rough,15892.595137834442,4077.495282978038,16402.264731432668,27896,736,27160,12.691099999999999,1.2436423330384234
rough,15752.428960811472,4707.178519101968,16433.95790672472,27896,736,27160,12.917799999999998,1.9422690988957358
rough,15841.58848536111,4085.6748438626346,16354.86891662541,25780,568,25212,13.468800000000002,2.5644273111834224
rough,16784.805728235144,4125.6353762765475,17279.47805693216,28340,568,27772,15.599800000000002,2.4526472937368604
rough,17275.795324774495,3992.5665951448245,17726.654682708748,28340,8148,20192,16.008500000000005,1.8492446587947218
rough,16737.3829606929,4862.63331069179,17422.650173265833,32767,5296,27471,14.046399999999998,1.6518746742395258
rough,16719.476445589837,5226.324776751583,17509.489386615474,32767,5296,27471,12.558599999999998,1.9468747398138515
rough,16351.474776291865,4582.502796407406,16975.2780807856,29644,-2184,31828,12.229099999999999,2.0365201529406316
rough,16356.316472925531,4179.69685207641,16876.7371159238,25200,-2184,27384,13.768900000000004,1.8955492234668712
rough,16539.088191901646,4067.4271544884773,17027.03621420945,26180,5092,21088,14.500200000000001,2.226228853709993
rough,16339.576878190674,4451.868849622501,16929.34486180726,32767,1944,30823,12.233800000000006,2.9025651420838785
rough,16548.078587612148,4792.144635788401,17221.32133867782,32767,1944,30823,10.077599999999999,1.7719749411092678
rough,16449.647915405716,4131.652827875229,16955.5526621812,31460,2704,28756,11.069799999999995,2.395605395744719
rough,16050.019795455457,4568.991960027491,16681.428778435016,32767,1856,30911,12.572600000000001,2.5818506478254637
rough,15971.643322898806,4982.5777248269205,16723.37317678464,32767,1856,30911,11.356,2.52005371114798
rough,16105.021733630114,4268.493216900899,16655.61644130892,25528,4876,20652,9.9226,1.2662603973667474
rough,16043.82736075216,4838.763054475179,16750.638435594028,26368,1956,24412,9.714299999999998,1.0367940631065213
